Date,2021/06/29
Name,元大20年期以上AAA至A級美元公司債券ETF基金
Net Asset,54689648314
Shares Outstanding,1244103000
ETF Currency,NTD
NAV per Share,43.9591

Ticker,Name,Currency,Shares,Expiry Month,Market Value,Weight,Price,Multiplier,FX Rate

