Date,2021/06/29
Name,元大10年期以上美元投資級銀行債券ETF基金
Net Asset,333686693
Shares Outstanding,8066000
ETF Currency,NTD
NAV per Share,41.3695

Ticker,Name,Currency,Shares,Expiry Month,Market Value,Weight,Price,Multiplier,FX Rate

