Date,2021/06/29
Name,元大標普美國高息特別股ETF基金
Net Asset,848302531
Shares Outstanding,43725000
ETF Currency,NTD
NAV per Share,19.4

Ticker,Name,Currency,Shares,Expiry Month,Market Value,Weight,Price,Multiplier,FX Rate

