Date,2021/06/29
Name,元大15年期以上新興市場主權債ETF基金
Net Asset,18683462464
Shares Outstanding,488651000
ETF Currency,NTD
NAV per Share,38.2348

Ticker,Name,Currency,Shares,Expiry Month,Market Value,Weight,Price,Multiplier,FX Rate

