Date,2021/06/29
Name,元大10年期以上美元投資級公共事業電能債券ETF基金
Net Asset,210175927
Shares Outstanding,5206000
ETF Currency,NTD
NAV per Share,40.3719

Ticker,Name,Currency,Shares,Expiry Month,Market Value,Weight,Price,Multiplier,FX Rate

